id,gender,has_car_and_property,income_type,family_status,housing_type,occupation_type,amount_income_total
6780623,Male,1,State servant,Married,Office apartment,Core staff,216000.0
5823289,Female,1,Working,Married,House / apartment,Private service staff,135000.0
5405498,Female,1,Working,Civil marriage,House / apartment,High skill tech staff,225000.0
5932002,Male,1,Working,Married,House / apartment,Sales staff,202500.0
6471945,Male,1,Commercial associate,Married,House / apartment,Core staff,157500.0
6724215,Male,1,Commercial associate,Married,House / apartment,Sales staff,202500.0
5858425,Female,1,Commercial associate,Civil marriage,House / apartment,Core staff,157500.0
6363491,Female,1,Working,Married,House / apartment,Sales staff,189000.0
5872563,Female,1,State servant,Civil marriage,House / apartment,Sales staff,148500.0
7429737,Female,1,Working,Married,House / apartment,Cooking staff,292500.0
6223583,Female,1,State servant,Married,House / apartment,High skill tech staff,135000.0
5792171,Female,1,Working,Married,House / apartment,Medicine staff,135000.0
6465230,Male,1,Commercial associate,Married,House / apartment,Security staff,337500.0
6801146,Female,1,Commercial associate,Married,House / apartment,Sales staff,135000.0
6758325,Female,1,Working,Married,House / apartment,Private service staff,202500.0
6054343,Female,1,Commercial associate,Civil marriage,House / apartment,High skill tech staff,135000.0
6162749,Female,1,Commercial associate,Married,House / apartment,Sales staff,112500.0
5795784,Female,1,Working,Civil marriage,House / apartment,High skill tech staff,360000.0
6367446,Female,1,Commercial associate,Married,House / apartment,Sales staff,337500.0
5891304,Female,1,Commercial associate,Separated,House / apartment,Cleaning staff,315000.0
5236527,Female,1,Commercial associate,Married,House / apartment,Sales staff,112500.0
6277066,Female,1,Working,Married,House / apartment,Core staff,292500.0
6575994,Male,1,Commercial associate,Married,House / apartment,Security staff,94500.0
5877013,Female,1,Working,Married,House / apartment,Sales staff,202500.0
5416538,Female,1,Commercial associate,Separated,House / apartment,Private service staff,225000.0
5022334,Male,1,Commercial associate,Married,House / apartment,Core staff,256500.0
5343422,Female,1,Working,Married,House / apartment,Waiters/barmen staff,121500.0
5091161,Female,1,Commercial associate,Married,House / apartment,Core staff,256500.0
5028564,Female,1,Commercial associate,Married,House / apartment,Core staff,315000.0
6392009,Female,1,Commercial associate,Civil marriage,House / apartment,Sales staff,166500.0
5892096,Male,1,Working,Married,House / apartment,Sales staff,135000.0
6233554,Female,1,State servant,Married,House / apartment,Core staff,90000.0
6480522,Female,1,Working,Married,House / apartment,High skill tech staff,121500.0
5529592,Male,1,Working,Single / not married,With parents,High skill tech staff,178650.0
5095387,Male,1,Working,Married,Municipal apartment,Core staff,270000.0
6780111,Female,1,Commercial associate,Married,House / apartment,Sales staff,157500.0
6498341,Male,1,Commercial associate,Married,House / apartment,Sales staff,225000.0
5702119,Male,1,Commercial associate,Married,House / apartment,Core staff,450000.0
6470008,Male,1,Commercial associate,Married,House / apartment,Core staff,450000.0
6203142,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,292500.0
5807568,Female,1,State servant,Married,House / apartment,Core staff,202500.0
5785225,Female,1,Working,Single / not married,House / apartment,Cooking staff,202500.0
6032242,Female,1,State servant,Single / not married,House / apartment,Core staff,202500.0
6398259,Female,1,Working,Married,Municipal apartment,Sales staff,135000.0
5580958,Male,1,Working,Single / not married,House / apartment,IT staff,166500.0
6235217,Female,1,State servant,Separated,House / apartment,Core staff,900000.0
6363498,Female,1,Working,Married,House / apartment,Sales staff,189000.0
5132674,Male,1,Working,Married,House / apartment,Sales staff,225000.0
6772900,Female,1,State servant,Civil marriage,Office apartment,Medicine staff,202500.0
6134797,Male,1,Working,Married,House / apartment,Security staff,153000.0
6424587,Male,1,Working,Married,With parents,Core staff,157500.0
6658880,Female,1,Working,Civil marriage,House / apartment,Sales staff,135000.0
5132673,Male,1,Working,Married,House / apartment,Sales staff,225000.0
5243603,Female,1,Commercial associate,Civil marriage,House / apartment,Sales staff,157500.0
5980871,Female,1,Working,Married,House / apartment,Core staff,171000.0
6540389,Male,1,Commercial associate,Married,House / apartment,Security staff,400500.0
6088955,Female,1,Commercial associate,Married,House / apartment,Sales staff,135000.0
5892014,Female,1,Commercial associate,Single / not married,House / apartment,Core staff,135000.0
5105579,Male,1,Commercial associate,Married,House / apartment,Security staff,378000.0
7169172,Female,1,Commercial associate,Married,House / apartment,Core staff,67500.0
6223789,Female,1,Working,Single / not married,Co-op apartment,Core staff,135000.0
7010570,Female,1,Working,Married,House / apartment,Sales staff,121500.0
7758322,Female,1,Working,Married,House / apartment,Private service staff,202500.0
6736761,Female,1,Working,Civil marriage,House / apartment,Sales staff,135000.0
6543434,Male,1,Working,Married,House / apartment,Sales staff,292500.0
6064391,Female,1,Working,Separated,House / apartment,Core staff,225000.0
5132620,Male,1,Commercial associate,Married,House / apartment,Core staff,292500.0
5068170,Male,1,Working,Married,House / apartment,IT staff,310500.0
5919433,Male,1,Working,Single / not married,House / apartment,High skill tech staff,76500.0
5062540,Female,1,Commercial associate,Civil marriage,House / apartment,Medicine staff,135000.0
6424584,Male,1,Working,Married,With parents,Core staff,157500.0
5738632,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,211500.0
6778693,Male,1,Commercial associate,Married,House / apartment,Sales staff,382500.0
5879164,Female,1,Commercial associate,Married,House / apartment,Core staff,166500.0
5892038,Male,1,Working,Single / not married,Co-op apartment,High skill tech staff,202500.0
6728554,Female,1,Working,Civil marriage,House / apartment,Core staff,157500.0
5889403,Female,1,Working,Married,Municipal apartment,Core staff,247500.0
5889602,Male,1,Commercial associate,Married,House / apartment,Cooking staff,360000.0
6392006,Female,1,Commercial associate,Civil marriage,House / apartment,Sales staff,166500.0
5388519,Female,1,State servant,Married,Co-op apartment,Core staff,99000.0
6248387,Female,1,Working,Widow,House / apartment,High skill tech staff,180000.0
5343427,Female,1,Working,Married,House / apartment,Waiters/barmen staff,121500.0
6409611,Female,1,Working,Civil marriage,House / apartment,Core staff,180000.0
6637993,Female,1,Working,Married,House / apartment,Cleaning staff,157500.0
5883716,Female,1,Working,Single / not married,House / apartment,Sales staff,180000.0
5929314,Female,1,Working,Married,House / apartment,High skill tech staff,112500.0
5178386,Female,1,Commercial associate,Single / not married,House / apartment,Medicine staff,202500.0
6498543,Female,1,State servant,Separated,House / apartment,Core staff,247500.0
6068621,Female,1,Commercial associate,Married,House / apartment,Core staff,157500.0
6233911,Female,1,State servant,Married,House / apartment,Core staff,315000.0
6099167,Female,1,Commercial associate,Married,House / apartment,Cleaning staff,90000.0
5853853,Male,1,Commercial associate,Married,House / apartment,Core staff,256500.0
5708554,Female,1,Commercial associate,Married,House / apartment,Core staff,211500.0
6780639,Female,1,Working,Married,House / apartment,Core staff,180000.0
6801136,Female,1,Commercial associate,Married,House / apartment,Sales staff,135000.0
5853841,Male,1,Commercial associate,Married,House / apartment,Core staff,256500.0
6611682,Male,1,Working,Married,House / apartment,High skill tech staff,157500.0
6186463,Male,1,Commercial associate,Married,House / apartment,Core staff,182250.0
5667812,Male,1,Commercial associate,Married,House / apartment,Sales staff,202500.0
5872495,Male,1,Working,Married,House / apartment,Security staff,112500.0
5196649,Female,1,Working,Married,House / apartment,Sales staff,135000.0
6115720,Male,1,Working,Single / not married,House / apartment,Sales staff,225000.0
6291826,Female,1,Working,Married,House / apartment,Sales staff,135000.0
6772903,Female,1,State servant,Civil marriage,Office apartment,Medicine staff,202500.0
5943132,Female,1,Commercial associate,Married,House / apartment,Cooking staff,112500.0
6428793,Male,1,Commercial associate,Single / not married,House / apartment,Core staff,315000.0
5089320,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,135000.0
5822760,Female,1,Working,Married,House / apartment,Core staff,135000.0
6296546,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,405000.0
5625854,Male,1,Commercial associate,Separated,House / apartment,Core staff,243000.0
6759474,Male,1,Working,Married,House / apartment,Sales staff,135000.0
5022417,Female,1,Working,Married,With parents,High skill tech staff,157500.0
5454104,Male,1,Commercial associate,Married,House / apartment,Sales staff,337500.0
6276342,Female,1,Commercial associate,Married,Municipal apartment,Private service staff,270000.0
6297042,Female,1,Working,Married,House / apartment,Sales staff,157500.0
5791855,Male,1,Commercial associate,Married,House / apartment,Core staff,315000.0
6134801,Male,1,Working,Married,House / apartment,Security staff,153000.0
6317850,Female,1,State servant,Married,House / apartment,High skill tech staff,243000.0
5949187,Male,1,Commercial associate,Civil marriage,House / apartment,Security staff,180000.0
6363490,Female,1,Working,Married,House / apartment,Sales staff,189000.0
5943134,Female,1,Commercial associate,Married,House / apartment,Cooking staff,112500.0
5090849,Female,1,Working,Married,House / apartment,Core staff,270000.0
6135034,Female,1,Working,Married,House / apartment,Core staff,112500.0
6591946,Male,1,Working,Married,House / apartment,Security staff,135000.0
6099515,Female,1,Working,Married,House / apartment,Cleaning staff,112500.0
6783815,Female,1,Commercial associate,Civil marriage,House / apartment,Core staff,202500.0
5928869,Female,1,Working,Married,House / apartment,Sales staff,135000.0
5808176,Female,1,Working,Single / not married,House / apartment,High skill tech staff,108000.0
6288138,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,202500.0
6247289,Male,1,Commercial associate,Single / not married,House / apartment,Core staff,225000.0
6366510,Male,1,Commercial associate,Civil marriage,House / apartment,High skill tech staff,292500.0
6424103,Male,1,Working,Single / not married,With parents,Sales staff,90000.0
6429823,Male,1,Commercial associate,Single / not married,With parents,Sales staff,315000.0
5726774,Female,1,Working,Married,House / apartment,Medicine staff,90000.0
6544792,Female,1,Commercial associate,Separated,House / apartment,Cleaning staff,315000.0
5169180,Female,1,Commercial associate,Married,House / apartment,Core staff,67500.0
7010370,Female,1,Working,Separated,House / apartment,Medicine staff,157500.0
5797380,Female,1,Working,Married,House / apartment,Sales staff,315000.0
6448965,Male,1,Working,Married,House / apartment,Security staff,180000.0
5796826,Female,1,Working,Married,House / apartment,Sales staff,112500.0
5625417,Female,1,State servant,Married,House / apartment,Core staff,121500.0
6498287,Female,1,State servant,Single / not married,House / apartment,Core staff,247500.0
6317855,Female,1,State servant,Married,House / apartment,High skill tech staff,243000.0
5317988,Female,1,Working,Married,With parents,Core staff,135000.0
6507958,Male,1,Working,Married,House / apartment,Security staff,225000.0
5113171,Female,1,Working,Married,House / apartment,Cooking staff,67500.0
5988500,Female,1,Working,Married,House / apartment,Medicine staff,157500.0
5548405,Female,1,Working,Single / not married,House / apartment,Medicine staff,180000.0
5971245,Female,1,Commercial associate,Separated,House / apartment,Private service staff,270000.0
6576683,Female,1,Commercial associate,Married,House / apartment,Sales staff,382500.0
5344070,Female,1,State servant,Single / not married,House / apartment,High skill tech staff,135000.0
6424929,Female,1,Working,Married,House / apartment,Core staff,162000.0
6390905,Male,1,Working,Married,Office apartment,Core staff,441000.0
5680132,Female,1,Working,Married,With parents,Core staff,112500.0
5315083,Male,1,Working,Married,House / apartment,IT staff,180000.0
5726402,Male,1,Commercial associate,Married,House / apartment,Security staff,432000.0
6780686,Female,1,Working,Married,House / apartment,Core staff,157500.0
6686009,Female,1,Commercial associate,Married,House / apartment,Core staff,202500.0
6470009,Male,1,Commercial associate,Married,House / apartment,Core staff,450000.0
5416195,Female,1,Commercial associate,Married,House / apartment,Sales staff,382500.0
5889404,Female,1,Working,Married,Municipal apartment,Core staff,247500.0
5237590,Male,1,Working,Married,House / apartment,Sales staff,315000.0
5787990,Female,1,Working,Married,House / apartment,Sales staff,315000.0
5508886,Female,1,Working,Married,House / apartment,Medicine staff,72000.0
5797387,Female,1,Working,Married,House / apartment,Sales staff,315000.0
6107139,Female,1,Working,Married,House / apartment,Sales staff,202500.0
5537423,Female,1,Working,Married,House / apartment,Sales staff,112500.0
6540386,Male,1,Commercial associate,Married,House / apartment,Security staff,400500.0
6806852,Male,1,Working,Separated,With parents,High skill tech staff,135000.0
5069234,Female,1,State servant,Married,House / apartment,Medicine staff,202500.0
6108687,Female,1,Commercial associate,Married,House / apartment,Core staff,450000.0
6052435,Female,1,Working,Married,House / apartment,High skill tech staff,112500.0
5679841,Female,1,Working,Married,House / apartment,HR staff,175500.0
5759662,Female,1,Working,Separated,House / apartment,Sales staff,225000.0
5169463,Female,1,Commercial associate,Civil marriage,House / apartment,Core staff,225000.0
6277323,Female,1,Working,Married,House / apartment,High skill tech staff,157500.0
5726400,Male,1,Commercial associate,Married,House / apartment,Security staff,432000.0
5343428,Female,1,Working,Married,House / apartment,Waiters/barmen staff,121500.0
5062685,Male,1,State servant,Married,Municipal apartment,High skill tech staff,247500.0
6008748,Female,1,Commercial associate,Married,House / apartment,Core staff,405000.0
6605125,Female,1,Commercial associate,Married,House / apartment,Medicine staff,292500.0
5836693,Male,1,Working,Married,House / apartment,High skill tech staff,261000.0
5995582,Female,1,Commercial associate,Married,House / apartment,Core staff,112500.0
5343407,Female,1,Working,Married,House / apartment,Core staff,202500.0
6248503,Male,1,Commercial associate,Civil marriage,House / apartment,Sales staff,247500.0
5352507,Female,1,Commercial associate,Married,House / apartment,Medicine staff,135000.0
5918850,Female,1,Commercial associate,Married,With parents,Core staff,90000.0
5901078,Male,1,Working,Married,House / apartment,Sales staff,180000.0
5868482,Female,1,Commercial associate,Married,Rented apartment,Core staff,112500.0
6259066,Female,1,Working,Married,House / apartment,High skill tech staff,94500.0
6153999,Male,1,Commercial associate,Married,Municipal apartment,Core staff,270000.0
6837522,Male,1,Working,Married,House / apartment,High skill tech staff,450000.0
5029353,Female,1,Commercial associate,Single / not married,House / apartment,Sales staff,270000.0
5939552,Male,1,State servant,Single / not married,House / apartment,High skill tech staff,292500.0
5770867,Male,1,Working,Married,House / apartment,High skill tech staff,337500.0
5028567,Female,1,Commercial associate,Married,House / apartment,Core staff,315000.0
5873111,Female,1,Working,Civil marriage,House / apartment,Security staff,202500.0
6780646,Female,1,Working,Married,House / apartment,Core staff,180000.0
6737170,Female,1,Commercial associate,Single / not married,House / apartment,Core staff,315000.0
6575998,Male,1,Commercial associate,Married,House / apartment,Security staff,94500.0
6223668,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,562500.0
6046376,Male,1,Working,Married,House / apartment,High skill tech staff,225000.0
6722546,Male,1,Working,Married,House / apartment,High skill tech staff,247500.0
5580282,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,157500.0
6272054,Male,1,State servant,Married,House / apartment,Core staff,292500.0
5352508,Female,1,Commercial associate,Married,House / apartment,Medicine staff,135000.0
5702064,Female,1,Commercial associate,Separated,House / apartment,Core staff,211500.0
5952001,Male,1,Working,Married,House / apartment,High skill tech staff,202500.0
6652005,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,180000.0
6638164,Female,1,Commercial associate,Married,House / apartment,Sales staff,112500.0
6248386,Female,1,Working,Widow,House / apartment,High skill tech staff,180000.0
6448151,Female,1,Working,Married,House / apartment,Core staff,157500.0
6398258,Female,1,Working,Married,Municipal apartment,Sales staff,135000.0
6107138,Female,1,Working,Married,House / apartment,Sales staff,202500.0
6519191,Female,1,Working,Married,House / apartment,Core staff,90000.0
5508891,Female,1,Working,Married,House / apartment,Medicine staff,72000.0
6604681,Female,1,Working,Married,House / apartment,Core staff,247500.0
6292392,Female,1,Working,Single / not married,House / apartment,Medicine staff,153000.0
6046993,Female,1,Working,Married,House / apartment,Medicine staff,144000.0
5788758,Female,1,Commercial associate,Married,With parents,Sales staff,270000.0
6424227,Female,1,Commercial associate,Married,House / apartment,Core staff,247500.0
6612300,Male,1,Working,Married,House / apartment,Cooking staff,135000.0
5297523,Male,1,Working,Married,House / apartment,High skill tech staff,270000.0
5868052,Female,1,Commercial associate,Married,House / apartment,Core staff,585000.0
6277508,Male,1,Commercial associate,Married,House / apartment,Sales staff,202500.0
6737727,Female,1,Working,Married,House / apartment,Sales staff,153000.0
5996538,Female,1,Commercial associate,Single / not married,House / apartment,Private service staff,315000.0
6415314,Female,1,Working,Married,House / apartment,Sales staff,193500.0
6591943,Male,1,Working,Married,House / apartment,Security staff,135000.0
6048433,Male,1,State servant,Married,With parents,Security staff,157500.0
5932074,Female,1,State servant,Married,House / apartment,Core staff,117000.0
6107577,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,225000.0
5738589,Male,1,Working,Married,House / apartment,Core staff,315000.0
5499768,Female,1,Working,Civil marriage,House / apartment,Core staff,225000.0
5706641,Female,1,Working,Separated,House / apartment,Sales staff,216000.0
5022627,Male,1,State servant,Married,With parents,Core staff,247500.0
6311287,Female,1,State servant,Married,House / apartment,Core staff,202500.0
6248432,Female,1,Commercial associate,Married,House / apartment,Sales staff,157500.0
6737797,Female,1,State servant,Married,House / apartment,Medicine staff,135000.0
5090655,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,135000.0
6731609,Female,1,Commercial associate,Married,With parents,Core staff,90000.0
7211715,Female,1,Working,Separated,Municipal apartment,Sales staff,180000.0
6743191,Male,1,State servant,Married,Office apartment,Core staff,306000.0
6842762,Female,1,Working,Married,House / apartment,Medicine staff,135000.0
6544791,Female,1,Commercial associate,Separated,House / apartment,Cleaning staff,315000.0
6108690,Female,1,Commercial associate,Married,House / apartment,Core staff,450000.0
6209589,Male,1,Working,Married,House / apartment,Core staff,225000.0
6154595,Female,1,Commercial associate,Single / not married,House / apartment,Core staff,270000.0
5975662,Female,1,Commercial associate,Married,House / apartment,Private service staff,112500.0
6163130,Female,1,State servant,Married,House / apartment,Core staff,180000.0
6249089,Female,1,Working,Married,House / apartment,High skill tech staff,270000.0
5760923,Male,1,Working,Single / not married,House / apartment,Sales staff,202500.0
6730615,Male,1,Working,Married,House / apartment,High skill tech staff,360000.0
6460027,Female,1,Commercial associate,Married,House / apartment,Sales staff,180000.0
5010368,Female,1,Working,Separated,House / apartment,Medicine staff,157500.0
6741692,Female,1,Working,Married,House / apartment,Sales staff,180000.0
6239903,Male,1,Working,Married,House / apartment,High skill tech staff,337500.0
5884017,Female,1,State servant,Married,House / apartment,IT staff,143100.0
6591142,Female,1,Working,Married,House / apartment,Waiters/barmen staff,135000.0
5823880,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,225000.0
5882957,Female,1,Working,Married,House / apartment,Sales staff,180000.0
5384707,Female,1,State servant,Married,House / apartment,Core staff,202500.0
7259069,Female,1,Working,Married,House / apartment,High skill tech staff,94500.0
5996637,Male,1,Commercial associate,Civil marriage,House / apartment,Core staff,292500.0
5046308,Female,1,Working,Married,House / apartment,Sales staff,135000.0
6396463,Male,1,Commercial associate,Married,House / apartment,Sales staff,270000.0
5820484,Male,1,Working,Married,House / apartment,Core staff,225000.0
6736963,Male,1,Working,Single / not married,Rented apartment,High skill tech staff,225000.0
6782850,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,225000.0
5089507,Female,1,Working,Married,Rented apartment,Core staff,405000.0
7741691,Female,1,Working,Married,House / apartment,Sales staff,180000.0
6464405,Female,1,Working,Single / not married,House / apartment,HR staff,270000.0
5829917,Female,1,Working,Married,House / apartment,Core staff,256500.0
6837214,Male,1,Commercial associate,Single / not married,House / apartment,Security staff,157500.0
6211716,Female,1,Working,Separated,Municipal apartment,Sales staff,180000.0
6842586,Male,1,Commercial associate,Married,House / apartment,Sales staff,202500.0
5061389,Female,1,State servant,Married,House / apartment,Medicine staff,225000.0
5727323,Female,1,Working,Married,House / apartment,Core staff,135000.0
6772898,Female,1,State servant,Civil marriage,Office apartment,Medicine staff,202500.0
5537418,Female,1,Working,Married,House / apartment,Sales staff,112500.0
5702072,Female,1,Commercial associate,Separated,House / apartment,Core staff,211500.0
6078242,Female,1,Commercial associate,Separated,House / apartment,Sales staff,225000.0
6146944,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,270000.0
6100548,Male,1,Working,Single / not married,House / apartment,Security staff,360000.0
6540387,Male,1,Commercial associate,Married,House / apartment,Security staff,400500.0
5726775,Female,1,Working,Married,House / apartment,Medicine staff,90000.0
5788888,Female,1,Commercial associate,Married,House / apartment,Core staff,337500.0
5797204,Female,1,Commercial associate,Married,House / apartment,Sales staff,157500.0
5820963,Female,1,State servant,Married,House / apartment,High skill tech staff,90000.0
5011002,Female,1,Working,Married,House / apartment,Sales staff,157500.0
5971422,Female,1,State servant,Separated,House / apartment,Core staff,243000.0
5841113,Male,1,Working,Civil marriage,House / apartment,Sales staff,292500.0
6604643,Male,1,Commercial associate,Single / not married,House / apartment,Core staff,1350000.0
5785222,Female,1,Working,Single / not married,House / apartment,Cooking staff,202500.0
6428706,Female,1,Commercial associate,Single / not married,House / apartment,Sales staff,270000.0
6659184,Female,1,Working,Married,House / apartment,Core staff,67500.0
5021814,Female,1,Working,Married,House / apartment,Cooking staff,67500.0
5236225,Female,1,Working,Married,Municipal apartment,Core staff,189000.0
6366514,Male,1,Commercial associate,Civil marriage,House / apartment,High skill tech staff,292500.0
6728551,Female,1,Working,Civil marriage,House / apartment,Core staff,157500.0
5709529,Male,1,State servant,Single / not married,House / apartment,Core staff,123750.0
5807565,Female,1,State servant,Married,House / apartment,Core staff,202500.0
5224247,Male,1,Commercial associate,Civil marriage,With parents,Core staff,180000.0
6263520,Male,1,Commercial associate,Married,Rented apartment,Cooking staff,270000.0
6801279,Female,1,Commercial associate,Married,House / apartment,Core staff,450000.0
6391078,Female,1,Commercial associate,Married,House / apartment,Sales staff,247500.0
6423944,Female,1,Commercial associate,Married,House / apartment,Core staff,837000.0
6722826,Female,1,Working,Married,House / apartment,Core staff,328500.0
6106727,Female,1,Commercial associate,Married,House / apartment,Core staff,247500.0
5858427,Female,1,Commercial associate,Civil marriage,House / apartment,Core staff,157500.0
6228820,Female,1,Working,Married,Municipal apartment,Cleaning staff,171000.0
6486138,Male,1,Working,Single / not married,House / apartment,Medicine staff,270000.0
6391470,Male,1,Working,Married,House / apartment,High skill tech staff,450000.0
6292173,Female,1,Working,Married,House / apartment,Sales staff,135000.0
5889377,Male,1,Working,Civil marriage,House / apartment,Sales staff,225000.0
6507361,Female,1,Commercial associate,Married,House / apartment,Sales staff,126000.0
5149190,Male,1,Working,Married,House / apartment,Core staff,450000.0
6392008,Female,1,Commercial associate,Civil marriage,House / apartment,Sales staff,166500.0
6053522,Female,1,State servant,Married,House / apartment,Core staff,157500.0
5061705,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,135000.0
5906006,Female,1,Working,Civil marriage,Co-op apartment,Sales staff,112500.0
5029467,Female,1,Commercial associate,Civil marriage,House / apartment,Core staff,112500.0
7177568,Female,1,State servant,Married,House / apartment,Core staff,90000.0
5952005,Male,1,Working,Married,House / apartment,High skill tech staff,202500.0
5971759,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,360000.0
5929311,Female,1,Working,Married,House / apartment,High skill tech staff,112500.0
6242312,Female,1,Working,Single / not married,House / apartment,Sales staff,540000.0
6595421,Male,1,Working,Married,House / apartment,Core staff,112500.0
6317852,Female,1,State servant,Married,House / apartment,High skill tech staff,243000.0
5112615,Male,1,Commercial associate,Civil marriage,House / apartment,Core staff,180000.0
6071043,Male,1,Working,Single / not married,House / apartment,Core staff,315000.0
6398261,Female,1,Working,Married,Municipal apartment,Sales staff,135000.0
5691751,Female,1,Working,Married,House / apartment,Core staff,130050.0
6173353,Female,1,Working,Married,House / apartment,Sales staff,450000.0
5625597,Female,1,Commercial associate,Civil marriage,With parents,Private service staff,121500.0
6736710,Female,1,Commercial associate,Single / not married,With parents,Cooking staff,180000.0
6064774,Female,1,Working,Married,House / apartment,Security staff,225000.0
6363326,Female,1,Working,Married,House / apartment,Sales staff,180000.0
5343936,Female,1,Working,Civil marriage,House / apartment,Sales staff,135000.0
5927605,Female,1,Working,Married,House / apartment,Sales staff,382500.0
5884009,Female,1,State servant,Married,House / apartment,IT staff,143100.0
6154001,Male,1,Commercial associate,Married,Municipal apartment,Core staff,270000.0
5089514,Female,1,Working,Married,Rented apartment,Core staff,405000.0
6177914,Female,1,Commercial associate,Married,House / apartment,Cooking staff,207000.0
5743552,Female,1,Working,Married,House / apartment,Core staff,112500.0
6132457,Female,1,State servant,Married,Rented apartment,Core staff,315000.0
6742383,Female,1,Working,Single / not married,House / apartment,Core staff,225000.0
7742902,Male,1,Working,Married,House / apartment,Cleaning staff,180000.0
6586612,Female,1,Working,Married,House / apartment,Security staff,135000.0
6722547,Male,1,Working,Married,House / apartment,High skill tech staff,247500.0
5822761,Female,1,Working,Married,House / apartment,Core staff,135000.0
5951614,Female,1,Working,Married,House / apartment,Core staff,90000.0
6348150,Male,1,State servant,Civil marriage,House / apartment,Core staff,270000.0
5906005,Female,1,Working,Civil marriage,Co-op apartment,Sales staff,112500.0
7090632,Female,1,Commercial associate,Married,House / apartment,Sales staff,292500.0
5833710,Female,1,Working,Married,House / apartment,Core staff,360000.0
5857408,Female,1,Commercial associate,Married,House / apartment,Core staff,135000.0
5919432,Male,1,Working,Single / not married,House / apartment,High skill tech staff,76500.0
5580167,Female,1,Working,Separated,House / apartment,Sales staff,135000.0
5761010,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,324000.0
5416543,Female,1,Commercial associate,Separated,House / apartment,Private service staff,225000.0
6132914,Male,1,Commercial associate,Single / not married,House / apartment,Sales staff,292500.0
6263700,Female,1,Commercial associate,Single / not married,House / apartment,Sales staff,450000.0
5297525,Male,1,Working,Married,House / apartment,High skill tech staff,270000.0
5416261,Female,1,State servant,Civil marriage,House / apartment,Medicine staff,130500.0
5155918,Female,1,Working,Married,House / apartment,Medicine staff,144000.0
6232960,Female,1,Working,Married,With parents,Security staff,90000.0
5548998,Female,1,Working,Married,House / apartment,Sales staff,157500.0
5760916,Male,1,Working,Single / not married,House / apartment,Sales staff,202500.0
6232959,Female,1,Working,Married,With parents,Security staff,90000.0
6153916,Male,1,State servant,Married,Rented apartment,Core staff,270000.0
5760920,Male,1,Working,Single / not married,House / apartment,Sales staff,202500.0
5999775,Female,1,Working,Single / not married,House / apartment,Sales staff,405000.0
6396462,Male,1,Commercial associate,Married,House / apartment,Sales staff,270000.0
5833715,Female,1,Working,Married,House / apartment,Core staff,360000.0
5905294,Male,1,Working,Married,House / apartment,High skill tech staff,225000.0
5892582,Male,1,Commercial associate,Married,House / apartment,Sales staff,189000.0
5726778,Female,1,Working,Married,House / apartment,Medicine staff,90000.0
6801456,Male,1,Working,Married,House / apartment,Core staff,225000.0
6065153,Male,1,Working,Married,House / apartment,High skill tech staff,157500.0
6590474,Female,1,Working,Married,House / apartment,Core staff,144000.0
6050932,Female,1,Commercial associate,Civil marriage,House / apartment,Core staff,135000.0
5841132,Male,1,Working,Married,House / apartment,Core staff,225000.0
5931639,Female,1,Commercial associate,Separated,House / apartment,High skill tech staff,135000.0
6604646,Male,1,Commercial associate,Single / not married,House / apartment,Core staff,1350000.0
5883909,Female,1,Commercial associate,Married,House / apartment,Sales staff,216000.0
5028563,Female,1,Commercial associate,Married,House / apartment,Core staff,315000.0
6153045,Male,1,Working,Married,House / apartment,Sales staff,315000.0
6801135,Female,1,Commercial associate,Married,House / apartment,Sales staff,135000.0
6152568,Female,1,Working,Married,House / apartment,Sales staff,225000.0
5938458,Female,1,Working,Single / not married,House / apartment,Sales staff,247500.0
5735955,Male,1,Working,Married,House / apartment,High skill tech staff,360000.0
7783815,Female,1,Commercial associate,Civil marriage,House / apartment,Core staff,202500.0
6520571,Female,1,Working,Married,House / apartment,Sales staff,225000.0
6601235,Female,1,Commercial associate,Married,House / apartment,Sales staff,225000.0
6611685,Male,1,Working,Married,House / apartment,High skill tech staff,157500.0
6460032,Female,1,Commercial associate,Married,House / apartment,Sales staff,180000.0
5068162,Male,1,Working,Married,Municipal apartment,Security staff,247500.0
6498285,Female,1,State servant,Single / not married,House / apartment,Core staff,247500.0
6636399,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,135000.0
6357418,Female,1,Commercial associate,Married,House / apartment,Core staff,108000.0
5807571,Female,1,State servant,Married,House / apartment,Core staff,202500.0
6742146,Female,1,State servant,Married,House / apartment,Core staff,157500.0
